video_id,views,likes,dislikes,comment_count
_KBc4B5JFoQ,17700161,251946,5268,4216
_KBc4B5JFoQ,18049888,254279,5343,4221
_KEN-cxmGw8,1108618,9984,1327,2639
_KEN-cxmGw8,1185840,10570,1415,2750
_KEN-cxmGw8,1257441,11094,1498,2922
_KEN-cxmGw8,1292945,11366,1543,2956
_KEN-cxmGw8,1318976,11582,1577,3000
_KEN-cxmGw8,1342504,11763,1615,3127
_KEN-cxmGw8,1363409,11920,1640,3203
_lu_Hgw60Ns,1221360,6952,4353,12770
_lu_Hgw60Ns,1763006,9644,7245,18254
_lu_Hgw60Ns,1991585,10918,8264,20576
_lu_Hgw60Ns,2129711,11773,8853,22083
_lu_Hgw60Ns,2191968,12167,9055,22643
_lu_Hgw60Ns,2235104,12402,9186,23076
_lu_Hgw60Ns,2265312,12574,9274,23360
_lu_Hgw60Ns,2324178,12754,9379,23631
_lu_Hgw60Ns,2347121,12840,9430,23692
_lu_Hgw60Ns,2358886,12886,9462,23740
_qQsPw4CqUI,10304233,216244,7485,16429
_qQsPw4CqUI,10913747,220924,7815,16840
_qQsPw4CqUI,11410710,224756,8038,17040
_qQsPw4CqUI,11927466,228294,8266,17258
_qQsPw4CqUI,12409367,231730,8426,17486
_qQsPw4CqUI,12833305,234736,8581,17683
_qQsPw4CqUI,13241301,237586,8725,17871
_qQsPw4CqUI,13636791,240227,8874,18028
_qQsPw4CqUI,14001487,242712,8993,18154
_qQsPw4CqUI,14328102,245065,9142,18282
_t0LX_Of33U,1611911,156061,3739,12950
_t0LX_Of33U,1639926,157149,3817,13275
_t0LX_Of33U,1664753,158036,3891,13531
_t0LX_Of33U,1700820,160262,3970,13737
_t0LX_Of33U,1785389,166373,4136,13769
_t0LX_Of33U,1837496,169265,4208,13987
_t0LX_Of33U,1866733,170646,4259,14206
_t0LX_Of33U,1892932,171592,4281,14268
_t0LX_Of33U,1916164,172545,4297,14424
_t0LX_Of33U,1934339,173217,4313,14507
_t0LX_Of33U,1948688,173694,4325,14535
_wVB6pfWwnE,1036074,59020,631,3435
_wVB6pfWwnE,1104268,60461,654,3465
_wVB6pfWwnE,1186388,61933,694,3491
_wVB6pfWwnE,1257023,63254,727,3526
_XyBa8QsVQU,15578068,257871,9004,61952
_XyBa8QsVQU,16418806,263490,9232,64172
_XyBa8QsVQU,17390970,269863,9556,66301
_XyBa8QsVQU,17772669,273524,9699,67401
_XyBa8QsVQU,17772669,273524,9699,67401
_XyBa8QsVQU,18628394,280139,10005,70498
_XyBa8QsVQU,19121908,284093,10177,72171
_zu53yAoTJE,1023701,16922,5397,5333
_zu53yAoTJE,1058906,17420,5426,5392
_zu53yAoTJE,1233329,19349,5538,5532
_zu53yAoTJE,1256086,19547,5597,5574
0aan7Vtcco0,7661194,51113,7121,8132
0aan7Vtcco0,7865656,51703,7243,8218
0aan7Vtcco0,8032444,52190,7363,8362
0aan7Vtcco0,8158249,52592,7453,8408
0aan7Vtcco0,8258817,52912,7484,8352
0aan7Vtcco0,8326267,53141,7507,8377
0aan7Vtcco0,8380756,53294,7524,8372
0aan7Vtcco0,8435264,53440,7549,8373
0aan7Vtcco0,8493953,53662,7565,8352
0aan7Vtcco0,8545438,53814,7579,8355
0aan7Vtcco0,8619964,53966,7597,8441
0aan7Vtcco0,8678164,54178,7606,8419
0aan7Vtcco0,8724747,54326,7612,8437
0aan7Vtcco0,8772558,54475,7628,8443
0aan7Vtcco0,8827409,54664,7645,8445
0aan7Vtcco0,8869424,54816,7659,8471
0aan7Vtcco0,8911677,55003,7669,8465
0aan7Vtcco0,8938666,55124,7676,8469
0AUFyFEt35g,2844996,429379,3397,65178
0AUFyFEt35g,4645909,520454,4456,76042
0GQmGOju6CE,1016167,69345,798,11728
0GQmGOju6CE,1055239,71254,814,12089
0GQmGOju6CE,1094426,72899,828,12285
0GQmGOju6CE,1138685,74715,846,12692
0GQmGOju6CE,1167242,75855,859,12874
0GQmGOju6CE,1184746,76528,871,12979
0GQmGOju6CE,1199741,77076,874,13067
0GQmGOju6CE,1214039,77553,876,13122
0GQmGOju6CE,1225347,77952,880,13220
0GQmGOju6CE,1235403,78277,887,13258
0GQmGOju6CE,1250305,78796,893,13406
0GQmGOju6CE,1263240,79199,900,13551
0GQmGOju6CE,1268637,79530,903,13582
0GQmGOju6CE,1300379,80887,915,13830
0GQmGOju6CE,1352578,82939,955,14086
0GQmGOju6CE,1372021,83574,964,14209
0GQmGOju6CE,1390707,84291,971,14340
0GQmGOju6CE,1470143,87196,991,14830
0GQmGOju6CE,1509139,88917,1000,15187
0GQmGOju6CE,1540207,90236,1012,15397
0oXu0XfXYYE,1020294,59974,3081,472
0uJUW24505E,1027075,52719,567,4039
0uJUW24505E,1263085,56904,637,4207
0uJUW24505E,1494536,60251,722,4331
0uJUW24505E,1694856,62342,789,4449
0uJUW24505E,1868921,64094,854,4520
0uJUW24505E,2027317,65677,894,4580
0uJUW24505E,2127218,67379,972,4647
0uJUW24505E,2342322,68765,1031,4729
0uJUW24505E,2536321,70479,1107,4839
0uJUW24505E,2674644,71376,1147,4912
0uJUW24505E,2832898,72799,1213,4990
0uJUW24505E,2995229,74213,1241,5048
0uJUW24505E,3133961,75239,1270,5076
0uJUW24505E,3269753,76173,1321,5065
0uJUW24505E,3402024,77088,1364,5081
0uJUW24505E,3533478,78090,1398,5123
0uJUW24505E,3662401,79032,1420,5170
0uJUW24505E,3778922,79964,1451,5208
